steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher,estimated_revenue
260,DARK SOULS II: Scholar of the First Sin,April,2015,29.99,2000000.0,5000000.0,3500000.0,"FromSoftware, Inc","Bandai Namco Entertainment, FromSoftware, Inc",104965000.0
261,PAYDAY 2,August,2013,4.99,20000000.0,50000000.0,35000000.0,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,174650000.0
262,Guild Wars: Eye of the North,August,2007,19.99,20000.0,20000.0,20000.0,ArenaNet®,NCSOFT,399799.99999999994
263,Depths of Peril,November,2010,9.99,50000.0,100000.0,75000.0,Soldak Entertainment,Soldak Entertainment,749250.0
264,Midnight Protocol,October,2021,14.99,20000.0,50000.0,35000.0,LuGus Studios,Iceberg Interactive,524650.0
265,Objects in Space,June,2018,24.99,50000.0,100000.0,75000.0,Flat Earth Games,505 Games,1874249.9999999998
266,The Metronomicon: Slay The Dance Floor,September,2016,19.99,20000.0,50000.0,35000.0,Puuba,Akupara Games,699650.0
267,Else Heart.Break(),September,2015,24.99,200000.0,500000.0,350000.0,"Erik Svedäng, El Huervo / Niklas Åkerblad, Tobias Sjögren, Oscar ""Ratvader"" Rydelius, Johannes Gotlén",Erik Svedäng AB,8746500.0
268,Half Minute Hero: The Second Coming,April,2014,9.99,50000.0,100000.0,75000.0,Opus,Marvelous,749250.0
269,Zwei: The Ilvard Insurrection,October,2017,19.99,20000.0,20000.0,20000.0,Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",399799.99999999994
270,Tales of Monkey Island: Complete Season,July,2009,14.99,200000.0,500000.0,350000.0,Telltale,Telltale,5246500.0
271,The Chronicles of Nyanya,February,2018,1.99,20000.0,20000.0,20000.0,hamstercube,No Gravity Games,39800.0
272,DeathSpank: Thongs of Virtue,November,2010,14.99,50000.0,100000.0,75000.0,Hothead Games,Electronic Arts,1124250.0
273,Shadows of Adam,February,2017,14.99,20000.0,50000.0,35000.0,Something Classic Games LLC,Something Classic Games LLC,524650.0
274,Half Past Fate,March,2020,19.99,20000.0,20000.0,20000.0,Serenity Forge,Way Down Deep,399799.99999999994
275,Avernum 2: Crystal Souls,January,2015,19.99,50000.0,100000.0,75000.0,Spiderweb Software,Spiderweb Software,1499249.9999999998
276,Etherlords II,February,2014,4.99,100000.0,200000.0,150000.0,Nival,Nival,748500.0
277,Summoner,March,2001,4.99,100000.0,200000.0,150000.0,Volition,THQ Nordic,748500.0
278,Xanadu Next,November,2016,14.99,20000.0,50000.0,35000.0,Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",524650.0
279,Dungelot: Shattered Lands,February,2016,9.99,50000.0,100000.0,75000.0,Red Winter Software,tinyBuild,749250.0
280,Joe Dever's Lone Wolf HD Remastered,November,2014,14.99,50000.0,100000.0,75000.0,Forge Reply srl,505 Games,1124250.0
281,Werewolf: The Apocalypse — Heart of the Forest,October,2020,14.99,100000.0,200000.0,150000.0,Different Tales,"Walkabout, Different Tales",2248500.0
282,Shadow Empire,December,2020,39.99,20000.0,50000.0,35000.0,VR Designs,Slitherine Ltd.,1399650.0
283,Hard West 2,August,2022,29.99,50000.0,100000.0,75000.0,Ice Code Games,Good Shepherd Entertainment,2249250.0
284,King's Bounty: Crossworlds,September,2010,14.99,200000.0,500000.0,350000.0,Katauri Interactive,Fulqrum Publishing,5246500.0
285,Wytchwood,December,2021,19.99,100000.0,200000.0,150000.0,Alientrap,"Whitethorn Games, WhisperGames",2998499.9999999995
286,Jupiter Hell,August,2021,16.24,20000.0,50000.0,35000.0,ChaosForge,Hyperstrange,568400.0
287,Sairento VR,February,2018,29.99,100000.0,200000.0,150000.0,"Mixed Realms Pte Ltd, Swag Soft Holdings Pte Ltd",Mixed Realms Pte Ltd,4498500.0
288,The Adventure Pals,April,2018,14.99,200000.0,500000.0,350000.0,Massive Monster,Armor Games Studios,5246500.0
289,The Count Lucanor,March,2016,9.99,100000.0,200000.0,150000.0,Baroque Decay,Neon Doctrine,1498500.0
290,Plebby Quest: The Crusades,April,2020,19.99,200000.0,500000.0,350000.0,PiedPipers Team,NEOWIZ,6996499.999999999
291,Indivisible,October,2019,39.99,100000.0,200000.0,150000.0,Lab Zero Games,505 Games,5998500.0
292,Roguebook,June,2021,24.99,100000.0,200000.0,150000.0,Abrakam Entertainment SA,Nacon,3748499.9999999995
293,Everything,April,2017,14.99,100000.0,200000.0,150000.0,David OReilly,"David OReilly, PLAYISM (Japan)",2248500.0
294,Apotheon,February,2015,14.99,200000.0,500000.0,350000.0,Alientrap,Alientrap,5246500.0
295,Dungeon Fighter Online,August,2016,0.0,500000.0,1000000.0,750000.0,Neople,Neople,0.0
296,Cthulhu Saves the World,July,2011,2.99,1000000.0,2000000.0,1500000.0,Zeboyd Games,Zeboyd Games,4485000.0
297,Crashlands,January,2016,14.99,100000.0,200000.0,150000.0,Butterscotch Shenanigans,Butterscotch Shenanigans,2248500.0
298,Fallout 4 VR,December,2017,59.99,500000.0,1000000.0,750000.0,Bethesda Game Studios,Bethesda Softworks,44992500.0
299,Wuppo: Definitive Edition,September,2016,14.99,100000.0,200000.0,150000.0,Knuist & Perzik,SOEDESCO,2248500.0
300,Iratus: Lord of the Dead,April,2020,29.99,200000.0,500000.0,350000.0,Unfrozen,Daedalic Entertainment,10496500.0
301,Battle Chasers: Nightwar,October,2017,7.49,200000.0,500000.0,350000.0,Airship Syndicate,THQ Nordic,2621500.0
302,Baldur's Gate II: Enhanced Edition,November,2013,19.99,50000.0,100000.0,75000.0,Beamdog,Beamdog,1499249.9999999998
