steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher,estimated_revenue
1,Disco Elysium - The Final Cut,October,2019,39.99,1000000.0,2000000.0,1500000.0,ZA/UM,ZA/UM,59985000.0
2,BioShock,August,2007,4.99,1000000.0,2000000.0,1500000.0,"2K Boston, 2K Australia",2K,7485000.0
3,Mass Effect 2 (2010),January,2010,19.99,1000000.0,2000000.0,1500000.0,BioWare,Electronic Arts,29985000.0
4,Mass Effect 2 Digital Deluxe Edition,January,2010,29.99,1000000.0,2000000.0,1500000.0,BioWare,Electronic Arts,44985000.0
5,Divinity: Original Sin - Enhanced Edition,October,2015,39.99,1000000.0,2000000.0,1500000.0,Larian Studios,Larian Studios,59985000.0
6,The Elder Scrolls IV: Oblivion Game of the Year Edition,September,2007,14.99,1000000.0,2000000.0,1500000.0,Bethesda Game Studios,Bethesda Softworks,22485000.0
7,The Elder Scrolls V: Skyrim,November,2011,19.99,5000000.0,10000000.0,7500000.0,Bethesda Game Studios,Bethesda Softworks,149925000.0
8,ELDEN RING,February,2022,59.99,20000000.0,50000000.0,35000000.0,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",2099650000.0
9,God of War,January,2022,49.99,2000000.0,5000000.0,3500000.0,Santa Monica Studio,PlayStation PC LLC,174965000.0
10,Divinity: Original Sin 2 - Definitive Edition,September,2017,44.99,5000000.0,10000000.0,7500000.0,Larian Studios,Larian Studios,337425000.0
11,Hades,September,2020,14.99,5000000.0,10000000.0,7500000.0,Supergiant Games,Supergiant Games,112425000.0
12,The Witcher 3: Wild Hunt,May,2015,39.99,10000000.0,20000000.0,15000000.0,CD PROJEKT RED,CD PROJEKT RED,599850000.0
13,System Shock 2,August,1999,9.99,500000.0,1000000.0,750000.0,"Nightdive Studios, Irrational Games, Looking Glass Studios",Nightdive Studios,7492500.0
14,Undertale,September,2015,9.99,2000000.0,5000000.0,3500000.0,tobyfox,tobyfox,34965000.0
15,The Longest Journey,November,2000,9.99,200000.0,500000.0,350000.0,Funcom,Funcom,3496500.0
16,Dragon Age: Origins,November,2009,29.99,500000.0,1000000.0,750000.0,BioWare,Electronic Arts,22492500.0
17,Fallout 3,October,2008,9.99,500000.0,1000000.0,750000.0,Bethesda Game Studios,Bethesda Softworks,7492500.0
18,Dragon Age: Origins - Ultimate Edition,October,2010,29.99,1000000.0,2000000.0,1500000.0,BioWare,Electronic Arts,44985000.0
19,Deus Ex: Human Revolution - Director's Cut,October,2013,19.99,2000000.0,5000000.0,3500000.0,Eidos Montreal,Square Enix,69965000.0
20,Fallout 3: Game of the Year Edition,October,2009,19.99,2000000.0,5000000.0,3500000.0,Bethesda Game Studios,Bethesda Softworks,69965000.0
21,DARK SOULS II,April,2014,24.99,1000000.0,2000000.0,1500000.0,"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",37485000.0
22,Crusader Kings III,September,2020,49.99,2000000.0,5000000.0,3500000.0,Paradox Development Studio,Paradox Interactive,174965000.0
24,Guild Wars 2,August,2022,0.0,500000.0,1000000.0,750000.0,ArenaNet®,NCSOFT,0.0
25,Into the Breach,February,2018,14.99,1000000.0,2000000.0,1500000.0,Subset Games,Subset Games,22485000.0
26,Freedom Force,March,2002,4.99,200000.0,500000.0,350000.0,Irrational Games,2K,1746500.0
28,Mass Effect 3 N7 Digital Deluxe Edition (2012),March,2012,29.99,500000.0,1000000.0,750000.0,BioWare,Electronic Arts,22492500.0
29,Fallout: A Post Nuclear Role Playing Game,September,1997,9.99,2000000.0,5000000.0,3500000.0,Interplay Inc.,Bethesda Softworks,34965000.0
30,Mass Effect (2007),May,2008,19.99,1000000.0,2000000.0,1500000.0,BioWare,Electronic Arts,29985000.0
31,Nuclear Throne,December,2015,11.99,500000.0,1000000.0,750000.0,Vlambeer,Vlambeer,8992500.0
32,Pillars of Eternity,March,2015,29.99,1000000.0,2000000.0,1500000.0,Obsidian Entertainment,Paradox Interactive,44985000.0
33,The Elder Scrolls III: Morrowind Game of the Year Edition,April,2002,14.99,1000000.0,2000000.0,1500000.0,Bethesda Game Studios,Bethesda Softworks,22485000.0
34,Borderlands 2,September,2012,19.99,10000000.0,20000000.0,15000000.0,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",299850000.0
35,Stardew Valley,February,2016,14.99,10000000.0,20000000.0,15000000.0,ConcernedApe,ConcernedApe,224850000.0
36,Sid Meier's Pirates!,July,2005,9.99,200000.0,500000.0,350000.0,Firaxis Games,2K,3496500.0
37,Rogue Legacy 2,April,2022,24.99,200000.0,500000.0,350000.0,Cellar Door Games,Cellar Door Games,8746500.0
